"Nom";"Version";"Editeur";"Date";"Taille";"Source";"Categorie"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"11.0.61030";"Microsoft Corporation";"06/03/2026";"1,7";"Registre";"main"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660";"12.0.40660.0";"Microsoft Corporation";"-";"20,6";"Registre";"composant"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660";"12.0.40660.0";"Microsoft Corporation";"-";"17,2";"Registre";"composant"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660";"12.0.40660";"Microsoft Corporation";"06/03/2026";"11,5";"Registre";"main"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660";"12.0.40660";"Microsoft Corporation";"06/03/2026";"2,5";"Registre";"main"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40660";"12.0.40660";"Microsoft Corporation";"06/03/2026";"9,2";"Registre";"main"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660";"12.0.40660";"Microsoft Corporation";"06/03/2026";"2";"Registre";"main"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.50.35719";"14.50.35719";"Microsoft Corporation";"23/03/2026";"11,6";"Registre";"main"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.50.35719";"14.50.35719";"Microsoft Corporation";"23/03/2026";"2,3";"Registre";"main"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.50.35719";"14.50.35719";"Microsoft Corporation";"23/03/2026";"10,1";"Registre";"main"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.50.35719";"14.50.35719";"Microsoft Corporation";"23/03/2026";"2";"Registre";"main"
"Microsoft Visual C++ v14 Redistributable (x64) - 14.50.35719";"14.50.35719.0";"Microsoft Corporation";"-";"20,7";"Registre";"composant"
"Microsoft Visual C++ v14 Redistributable (x86) - 14.50.35719";"14.50.35719.0";"Microsoft Corporation";"-";"18,2";"Registre";"composant"
"Microsoft VSS Writer for SQL Server 2014";"12.2.5000.0";"Microsoft Corporation";"23/03/2026";"3,5";"Registre";"main"
"Microsoft Windows Desktop Runtime - 3.1.10 (x64)";"24.104.29419";"Microsoft Corporation";"06/03/2026";"83,8";"Registre";"main"
"Microsoft Windows Desktop Runtime - 3.1.10 (x86)";"24.104.29419";"Microsoft Corporation";"06/03/2026";"77,8";"Registre";"main"
"Microsoft Windows Desktop Runtime - 8.0.21 (x64)";"64.84.40919";"Microsoft Corporation";"23/03/2026";"89,9";"Registre";"main"
"Microsoft Windows Desktop Runtime - 8.0.25 (x64)";"64.100.48707";"Microsoft Corporation";"11/03/2026";"89,8";"Registre";"main"
"Microsoft.ApplicationCompatibilityEnhancements";"1.2511.9.0";;"-";"0";"AppX";"main"
"Microsoft.AV1VideoExtension";"2.0.7.0";;"-";"0";"AppX";"main"
"Microsoft.AVCEncoderVideoExtension";"1.1.23.0";;"-";"0";"AppX";"main"
"Microsoft.DesktopAppInstaller";"1.28.219.0";;"-";"0";"AppX";"main"
"Microsoft.Edge.GameAssist";"1.0.3590.0";;"-";"0";"AppX";"main"
"Microsoft.GetHelp";"10.2409.33293.0";;"-";"0";"AppX";"main"
"Microsoft.HEIFImageExtension";"1.2.29.0";;"-";"0";"AppX";"main"
"Microsoft.HEVCVideoExtension";"2.4.43.0";;"-";"0";"AppX";"main"
"Microsoft.LanguageExperiencePackfr-FR";"26100.153.253.0";;"-";"0";"AppX";"main"
"Microsoft.MicrosoftEdge.Stable";"145.0.3800.82";;"-";"0";"AppX";"main"
"Microsoft.MPEG2VideoExtension";"1.2.13.0";;"-";"0";"AppX";"main"
"Microsoft.Paint";"11.2601.401.0";;"-";"0";"AppX";"main"
"Microsoft.RawImageExtension";"2.5.7.0";;"-";"0";"AppX";"main"
"Microsoft.ScreenSketch";"11.2601.0.0";;"-";"0";"AppX";"main"
"Microsoft.SecHealthUI";"1000.29510.1001.0";;"-";"0";"AppX";"main"
"Microsoft.StorePurchaseApp";"22512.1401.1.0";;"-";"0";"AppX";"main"
"Microsoft.VP9VideoExtensions";"1.2.12.0";;"-";"0";"AppX";"main"
"Microsoft.WebMediaExtensions";"2.1.20.0";;"-";"0";"AppX";"main"
"Microsoft.WebpImageExtension";"1.2.14.0";;"-";"0";"AppX";"main"
"Microsoft.WidgetsPlatformRuntime";"1.6.14.0";;"-";"0";"AppX";"main"
"Microsoft.Winget.Source";"2026.312.1141.11";;"-";"0";"AppX";"main"
"Microsoft.ZuneMusic";"11.2601.11.0";;"-";"0";"AppX";"main"
"MicrosoftCorporationII.WinAppRuntime.Main.1.8";"8000.770.947.0";;"-";"0";"AppX";"main"
"MicrosoftWindows.Client.WebExperience";"526.1202.40.0";;"-";"0";"AppX";"main"
"ModifiableWindowsApps";"(dossier)";"-";"-";"0";"Dossier";"main"
"MSBuild";"(dossier)";"-";"-";"0";"Dossier";"main"
"NCM GPRS 64";"01.02.0000";"Siemens AG";"20/03/2026";"0,3";"Registre";"main"
"NREL";"(dossier)";"-";"-";"0";"Dossier";"main"
"NVIDIA Ansel";"391.35";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Corporation";"(dossier)";"-";"-";"0";"Dossier";"main"
"NVIDIA Display Container";"1.2";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"doublon"
"NVIDIA Display Container LS";"1.2";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Display Session Container";"1.2";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Display Watchdog Plugin";"1.2";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Install Application";"2.1002.291.0";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA nView 148.92";"148.92";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Optimus Update 31.1.10.0";"31.1.10.0";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"update"
"NVIDIA Pilote 3D Vision 391.35";"391.35";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Pilote audio HD : 1.3.36.6";"1.3.36.6";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Pilote du contrôleur 3D Vision 390.41";"390.41";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Pilote graphique 391.35";"391.35";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Stereoscopic 3D Driver";"7.17.13.7500";"NVIDIA Corporation";"-";"0";"Registre";"main"
"NVIDIA Telemetry Client";"8.0.16.0";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Telemetry Container";"8.0.16.0";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"NVIDIA Update Core";"31.1.10.0";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"update"
"NVIDIA WMI 2.31.0";"2.31.0";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"ODIS";"(dossier)";"-";"-";"0";"Dossier";"main"
"ONLYOFFICE 9.3.1 (x64)";"9.3.1.8";"Ascensio System SIA";"12/03/2026";"1596,5";"Registre";"main"
"OPC .NET API 2.00 Redistributables (x86) 101.0";"2.00.10200";"OPC Foundation";"20/03/2026";"1,4";"Registre";"composant"
"OPC .NET API 2.00 Redistributables 106.0";"2.01.10600";"OPC Foundation";"20/03/2026";"1,7";"Registre";"composant"
"OPC Core Components Redistributable (x64) 106.0";"3.00.10600";"OPC Foundation";"20/03/2026";"5,3";"Registre";"composant"
"OPC Core Components Redistributable (x86) 101.2";"3.00.10102";"OPC Foundation";"20/03/2026";"1,2";"Registre";"composant"
"OPC Foundation";"(dossier)";"-";"-";"0";"Dossier";"composant"
"Open Design Alliance";"(dossier)";"-";"-";"0";"Dossier";"main"
"OpenModelica1.26.3-64bit";"1.26.3-64bit";"Open Source Modelica Consortium (OSMC) and LinkÃ¶ping University (LiU).";"-";"0";"Utilisateur";"main"
"OpenStudio CLI For Revit 2026";"1.2.4";"NREL";"23/03/2026";"367,1";"Registre";"main"
"Panneau de configuration NVIDIA 391.35";"391.35";"NVIDIA Corporation";"23/03/2026";"0";"Registre";"main"
"Personal Accelerator for Revit";"24.4.40.0";"Autodesk";"23/03/2026";"19";"Registre";"main"
"PME Generic DTM";"1.0.46.0";"Schneider Electric";"06/03/2026";"17,8";"Registre";"main"
"Powersim";"(dossier)";"-";"-";"0";"Dossier";"main"
"Prosyst";"(dossier)";"-";"-";"0";"Dossier";"main"
"PSIM 2020a_Demo version 2020a";"2020a";"Powersim, Inc.";"06/03/2026";"394,8";"Utilisateur";"main"
"PSIM 9.3.4 Demo Version";"9.3.4";"Powersim";"06/03/2026";"101,9";"Registre";"main"
"PSx Ethernet RIO DTM";"2.9.0";"Schneider Electric";"06/03/2026";"175,8";"Registre";"main"
"Python 3.14.3";"3.14-64";"Python Software Foundation";"06/03/2026";"123";"Utilisateur";"main"
"PythonSoftwareFoundation.PythonManager";"25.2.240.0";;"-";"0";"AppX";"main"
"QElectroTech (remove only)";;;"-";"0";"Registre";"main"
"RealtekSemiconductorCorp.RealtekAudioControl";"1.1.137.0";;"-";"0";"AppX";"main"
"Revit 2026";"26.0.4.409";"Autodesk";"23/03/2026";"1,8";"Registre";"doublon"
"REX Framework";"23.0.1.4951";"Autodesk, Inc.";"06/03/2026";"15,1";"Registre";"main"
"RSA COM";"26.0.0.11886";"Autodesk, Inc.";"23/03/2026";"7,4";"Registre";"doublon"
"RSA CommonData";"26.0.0.11862";"Autodesk, Inc.";"23/03/2026";"134,7";"Registre";"main"
"RSA RoReinf";"26.0.0.11877";"Autodesk, Inc.";"23/03/2026";"21,6";"Registre";"main"
"SafeNet Sentinel";"(dossier)";"-";"-";"0";"Dossier";"main"
"SAM 2025.4.16";;"National Renewable Energy Laboratory";"06/03/2026";"472,9";"Registre";"main"
"Schneider Electric Mx80 HART Gateway DTM Library";"1.1.5";"Schneider Electric";"06/03/2026";"0";"Registre";"main"
"Schneider Electric Software Update";"3.0.12";"Schneider Electric";"09/03/2026";"34,3";"Registre";"update"
"scilab-2026.0.0 (64-bit)";"2026.0.0";"Dassault Systèmes";"06/03/2026";"986,2";"Registre";"main"
"SeCon";"02.05.0101";"Siemens AG";"20/03/2026";"10,7";"Registre";"main"
"Sentinel Protection Installer 7.7.1";"7.7.1";"SafeNet, Inc.";"10/03/2026";"4,4";"Registre";"main"
"Service Pack 2 for SQL Server 2014 (KB3171021)";"12.2.5000.0";"Microsoft Corporation";"20/03/2026";"0";"Registre";"update"
"Siemens Automation License Manager";"06.00.0100";"Siemens AG";"20/03/2026";"83,2";"Registre";"main"
"Siemens Automation License Manager V6.0 + SP1";"06.00.0100";"Siemens AG";"-";"83,2";"Registre";"update"
"SIEMENS OPC";"03.09.0800";"Siemens AG";"20/03/2026";"4,4";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1";"V15.1";"Siemens AG";"-";"6031,6";"Registre";"doublon"
"Siemens Totally Integrated Automation Portal V15.1 - Hardware Support Base Package 0  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"7";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - Hardware Support Base Package 02  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"7";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - Hardware Support Base Package 03  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"7";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - Hardware Support Base Package 04  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"7";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - Hardware Support Base Package WCF-01  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"7";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - HM All Editions Single SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"852,4";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - HM NoBasic Single SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"413,8";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - Multiuser Client Single SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"4,7";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - Openness SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"31,7";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - SIMATIC S7-PLCSIM  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"676,4";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - Simatic Single SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"71,8";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - Simatic Single SetupPackage 32 Bit  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"0,2";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - STEP 7 Single SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"710,8";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - Support Base Package TO-01  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"20,8";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - Support Base Package TO-02  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"7";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - TIACOMPCHECK Single SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"0,4";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - WinCC Single SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"588,4";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - WinCC Single SetupPackage 32 Bit  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"7,4";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - WinCC Transfer Current All Single SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"1001,6";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - WinCC Transfer Current CAP Single SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"1132,8";"Registre";"main"
"Siemens Totally Integrated Automation Portal V15.1 - WinCC Transfer Mandatory Single SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"561,2";"Registre";"main"
"SIMATIC Device Drivers";"09.02.0100";"Siemens AG";"20/03/2026";"165,4";"Registre";"doublon"
"SIMATIC Device Drivers WoW";"29.02.0100";"Siemens AG";"20/03/2026";"32,6";"Registre";"main"
"SIMATIC Event Database";"05.06.0100";"Siemens AG";"20/03/2026";"3,7";"Registre";"main"
"SIMATIC HMI License Manager Panel Plugin (x64)";"15.01.0000";"Siemens AG";"20/03/2026";"9,6";"Registre";"main"
"SIMATIC HMI Symbol Library";"15.01.0000";"Siemens AG";"20/03/2026";"16,8";"Registre";"main"
"SIMATIC HMI Touch Input";"15.01.0000";"Siemens AG";"20/03/2026";"2,5";"Registre";"main"
"SIMATIC NCM FWL 64";"05.06.0003";"Siemens AG";"20/03/2026";"0,1";"Registre";"main"
"SIMATIC PLCSIM 64";"15.01.0000";"Siemens AG";"20/03/2026";"0,3";"Registre";"main"
"SIMATIC Prosave";"15.01.0000";"Siemens AG";"20/03/2026";"14";"Registre";"doublon"
"SIMATIC Prosave V15.1";"15.01.0000";"Siemens AG";"-";"14";"Registre";"main"
"SIMATIC S7-PLCSIM";"15.01.0000";"Siemens AG";"20/03/2026";"353,8";"Registre";"doublon"
"SIMATIC S7-PLCSIM V15.1";"V15.1";"Siemens AG";"-";"1017,6";"Registre";"main"
"SIMATIC S7-PLCSIM V5.4 + SP8    ";"05.04.0801";"Siemens AG";"-";"23,7";"Registre";"update"
"SIMATIC WinCC Runtime Advanced Driver (x64)";"15.01.0000";"Siemens AG";"20/03/2026";"1,8";"Registre";"main"
"SIMATIC WinCC Runtime Advanced V15.1";"V15.1";"Siemens AG";"-";"108,5";"Registre";"main"
"SQL Server 2014 Common Files";"12.2.5000.0";"Microsoft Corporation";"20/03/2026";"0,5";"Registre";"main"
"SQL Server 2014 Database Engine Services";"12.2.5000.0";"Microsoft Corporation";"20/03/2026";"62,3";"Registre";"main"
"SQL Server 2014 Database Engine Shared";"12.2.5000.0";"Microsoft Corporation";"23/03/2026";"72,7";"Registre";"main"
"SQL Server Browser for SQL Server 2014";"12.2.5000.0";"Microsoft Corporation";"23/03/2026";"9,8";"Registre";"main"
"Sql Server Customer Experience Improvement Program";"12.2.5000.0";"Microsoft Corporation";"20/03/2026";"0,5";"Registre";"main"
"Steel Connections Content for Revit 2026";"26.0.4.409";"Autodesk";"23/03/2026";"841";"Registre";"main"
"SumatraPDF";"3.5.2";"Krzysztof Kowalczyk";"10/03/2026";"22,3";"Registre";"main"
"TeighaX 4.3.1";"4.3.1";"Open Design Alliance";"06/03/2026";"69,3";"Registre";"doublon"
"TeighaX 4.3.1  (x64)";"4.3.1";"Open Design Alliance";"06/03/2026";"68,7";"Registre";"main"
"TIA Administrator";"V1.0";"Siemens AG";"-";"164,5";"Registre";"main"
"TIA Administrator -  TIA Administrator  V1.0 SP1";"01.00.0100";"Siemens AG";"20/03/2026";"124,8";"Registre";"update"
"TIA Administrator - AWB Licensing Module  V1.0 + SP1";"01.00.0100";"Siemens AG";"20/03/2026";"4,9";"Registre";"update"
"TIA Administrator - AWB Software Management  V1.0 + SP1";"01.00.0100";"Siemens AG";"20/03/2026";"50,9";"Registre";"update"
"TIA Administrator - TIA UMC Agent Configurator Module  V1.0 + SP1";"01.00.0100";"Siemens AG";"20/03/2026";"0,1";"Registre";"update"
"TIA Portal Multiuser Server V15.1";"V15.1";"Siemens AG";"-";"19,4";"Registre";"main"
"TIA Portal Multiuser Server V15.1 -  TIA Portal Multiuser Server Single SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"19,6";"Registre";"main"
"Totally Integrated Automation Portal V15.1 -  TIA Portal Single SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"353,5";"Registre";"main"
"Unity Pro";"13.0.18099";"Schneider Electric";"06/03/2026";"2172,4";"Registre";"main"
"Unity Pro Ethernet Configuration Tool";"3.9.0";"Schneider Electric";"06/03/2026";"185,1";"Registre";"main"
"Unity Pro PlantStruxure DTM Library";"3.9.3";"Schneider Electric";"06/03/2026";"464,9";"Registre";"main"
"User Geospatial Coordinate Systems";"(dossier)";"-";"-";"0";"Dossier";"main"
"User Management Component";"01.09.01.03";"Siemens AG";"-";"341,8";"Registre";"main"
"User Management Component -  UserManagementComponentx64  01.9 + SP1";"01.09.01.03";"Siemens AG";"20/03/2026";"343,8";"Registre";"update"
"VideoLAN";"(dossier)";"-";"-";"0";"Dossier";"main"
"VLC media player";"3.0.23";"VideoLAN";"-";"0";"Registre";"main"
"Vulkan Run Time Libraries 1.0.65.1";"1.0.65.1";"LunarG, Inc.";"-";"1,7";"Registre";"composant"
"VulkanRT";"(dossier)";"-";"-";"0";"Dossier";"composant"
"WAGO Software";"(dossier)";"-";"-";"0";"Dossier";"main"
"WAGO Solution Builder";"2.0.6";"WAGO GmbH & Co. KG";"06/03/2026";"594,1";"Registre";"main"
"Web Services";"(dossier)";"-";"-";"0";"Dossier";"main"
"WIBU-SYSTEMS";"(dossier)";"-";"-";"0";"Dossier";"main"
"WinCC Runtime Advanced Simulator";"15.01.0000";"Siemens AG";"20/03/2026";"5,8";"Registre";"main"
"WinCC Runtime Advanced V15.1 -  SIMATIC WinCC Runtime Advanced  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"109,7";"Registre";"main"
"WinCC Runtime Advanced V15.1 - HMIRTM Tagging Package 01 Single SetupPackage  V15.1";"15.01.0000";"Siemens AG";"20/03/2026";"5,8";"Registre";"main"
"Worksharing Monitor for Autodesk Revit 2026";"26.0.4.409";"Autodesk";"23/03/2026";"12,9";"Registre";"main"
"WPTx64";"10.1.19041.1";"Microsoft";"23/03/2026";"47,2";"Registre";"main"
"XLPRO3 v3.9.23";"3.9.23";"Legrand";"23/03/2026";"0";"Registre";"main"
